"","LogFC","logCPM","LR","PValue","padj","stat"
"90288",1.45481407688918,1.21465619762478,65.7996260209918,4.99177053260616e-16,1.23768329447993e-15,NA
"A1BG",1.50262240065204,3.18174459943713,202.537206838196,5.83678334279068e-46,4.2420602450848e-45,"1"
"A2ML1",4.47201707064289,3.75675364043624,80.0814635930822,3.59287195896809e-19,1.01421370437032e-18,"144568"
"A2M",-1.05045058903317,9.88217712722731,132.280101521145,1.29930297463075e-30,5.79590270030647e-30,"2"
"AASS",-1.55312028019425,3.67313200250684,411.956484223707,1.37484122728608e-91,2.69523150596518e-90,"10157"
"ABAT",1.36238992810989,6.16963938176642,67.0862292595702,2.59887431865702e-16,6.51862432216682e-16,"18"
"ABCA10",-3.55913175194629,1.38053205616792,897.625034682142,3.22188775956674e-197,3.22167152548892e-195,"10349"
"ABCA12",1.34612565139488,4.69324021198123,25.9495143052611,3.5046360124642e-07,5.71098894779657e-07,"26154"
"ABCA13",1.33017919662597,1.04959043051906,10.7849510652791,0.00102328609459495,0.0013624610834111,"154664"
"ABCA1",-1.18276139397103,5.59966485860751,276.334448150694,4.72500090981012e-62,5.34125861572542e-61,"19"
"ABCA5",-1.42360489556581,4.34058986672453,308.792096458737,4.00276393814712e-69,5.32950669476801e-68,"23461"
"ABCA6",-2.68935790951252,3.08585893405033,747.238909639155,1.59868719136719e-164,1.12885499830236e-162,"23460"
"ABCA8",-3.77522994826249,3.9450680881945,720.993768193021,8.13891510816671e-159,5.20436464362986e-157,"10351"
"ABCA9",-3.64817002329932,3.1571675003632,1133.87940277236,1.43050891538238e-248,2.88015572030839e-246,"10350"
"ABCB1",-1.98713126845143,2.57967180430736,380.968615688029,7.65736038204851e-85,1.33591349335059e-83,"5243"
"ABCB9",1.0867379380682,3.58029871835182,118.141317239955,1.61464384194219e-27,6.41337739298764e-27,"23457"
"ABCC12",2.20892775865373,0.818528510829637,24.5478972014052,7.24854017660742e-07,1.16074806632926e-06,"94160"
"ABCC13",7.08497313796402,1.73044003522947,106.00050884131,7.37162723049057e-25,2.61873805691652e-24,"150000"
"ABCC5",1.17619192133212,6.47739314650172,112.399194839838,2.92147348974302e-26,1.10418654296502e-25,"10057"
"ABCC6",-1.61215865587707,2.42589242111436,130.715164623657,2.85810740346745e-30,1.2576179032564e-29,"368"
