# ---------------------------------------------------------------------------
# 
# This file contains the Human Interactome used in:
# 
# Uncovering Disease-Disease Relationships Through The Human Interactome
#
# by Joerg Menche, Amitabh Sharma, Maksim Kitsak, Susan Dina
#    Ghiassian, Marc Vidal, Joseph Loscalzo & Albert-Laszlo Barabasi
#
#
# FILE FORMAT: 3 tab-separated columns, 3rd column contains
# semicolon-separated sub-entries
#
# Each line in the table correponds to one interaction
# Columns 1 & 2 give the gene IDs of the two interacting proteins. 
# Column 3 gives the type of the interation, compare with SOM Section 1.1.1:
# (i)   regulatory
# (ii)  binary
# (iii) literature
# (iv)  metabolic
# (v)   complexes
# (vi)  kinase
# (vii) signaling
#
# ---------------------------------------------------------------------------
# gene_ID_1	 gene_ID_2	data_source(s)
1394	2778	literature
100290337	4214	literature
122704	54460	complexes
4790	79155	binary;literature;signaling
2597	70	signaling
5923	7157	literature
509	6122	literature
4067	933	literature;signaling
398	998	literature
1748	5976	literature
1537	55967	metabolic
10989	54927	literature
55890	7920	binary;literature;signaling
6629	9140	literature
6173	8342	complexes
6193	79084	literature
7879	83547	literature
56893	6598	binary;literature;signaling
8543	9659	binary
6498	7329	binary;literature;signaling
5564	6122	literature
51729	79228	complexes
125115	79165	binary
2177	4609	literature
11017	6427	complexes
10567	123920	signaling
1153	9589	complexes
1457	2287	literature;signaling
4607	84676	binary;literature
4678	8357	binary;literature
5295	7098	literature
4141	7030	literature
10399	6531	literature;signaling
26191	5170	binary;literature
27316	9939	complexes
10128	6146	literature
51755	6434	complexes
221692	58	literature;signaling
27230	3337	literature
2033	3233	literature;signaling
5996	8666	signaling
5063	6853	literature;kinase
5566	596	literature;signaling
339	387569	literature
10399	920	literature
217	84532	metabolic
10449	6342	literature
5705	8856	literature;signaling
4700	4711	complexes
10206	396	signaling
10577	4864	literature
5903	7341	literature
2273	9659	signaling
1027	10987	literature;signaling
148	84687	literature;signaling
2091	6229	complexes
5083	7088	literature
10291	24148	complexes
6217	7532	literature
9343	94104	complexes
10083	64072	literature
6688	9636	regulatory
71	93661	literature
2810	5774	literature
1938	6125	complexes;literature
3911	84280	binary;literature;signaling
51021	54460	complexes
22948	29966	literature
5558	7150	complexes
22907	84844	literature
23774	9767	complexes
58	84962	literature;signaling
27030	27030	literature
3275	6256	literature;signaling
386677	84527	binary
3749	5579	kinase
3718	3932	literature;signaling
10289	55720	literature
5310	87	literature;signaling
391257	7329	binary
79959	8812	binary;literature;signaling
2885	817	literature
4209	8751	literature
347733	4790	literature
6159	7533	literature
23398	2483	complexes
10313	6252	literature
259266	5347	literature
2058	9140	literature
10849	916	literature;signaling
5110	7077	literature
11052	57819	complexes
114609	7189	literature;signaling
125115	26152	binary
130502	56658	binary
23385	84898	literature
10392	3303	literature
3131	4602	literature
6141	9129	literature
196	9978	complexes
2533	8631	binary;literature;signaling
1019	1022	literature;kinase
3490	6382	literature;signaling
6427	7536	complexes
11156	29927	literature
5698	6772	regulatory
2353	5104	binary
4736	6142	complexes;literature
4137	4741	literature
